S/N,Company Name,Company Reg. No.,To Emails,CC Emails,BCC Emails,Addressee,Year End,Year,AGM Done,GST Required,GST Done,Audit Required,Audit Done,Income Tax Done
1,"
Camelot AMK Pte Ltd (OWL KIDZ PTE. LTD.)",201814836R,owlkidzpl@gmail.com,,,Tom,3,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2,(Davinci Global Pte Ltd) Aini Axiu Global Pte Ltd,201511574C,billy@osmosishome.com,,,Dick,3,2019,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
3,0.1 Design & Construction Pte Ltd (Dormant),199801293E,queenkim2468@gmail.com,,,Harry,3,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
4,Adoni Nevaeh Pte Ltd,201422716G,,,,Tom,3,2019,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
5,Alliance Intelligent Techonologies Pte Ltd,201627359C,danielliao@cdlcq.com,,,Dick,3,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
6,Alliance Investment Management Pte Ltd,201627363H,danielliao@cdlcq.com,,,Harry,3,2019,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
7,Amazing 1818 Pte Ltd,201601551H,aggie.lee@yahoo.com,,,Tom,3,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
8,Bacten Pte Ltd (Anchor of Life Training Consultants),201438361N,jason@skainom.net,,,Dick,3,2019,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
9,Anchor of Life Venture Pte Ltd,201710488N,jason@skainom.net,,,Harry,3,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
10,APMuse,201839556R,,,,Tom,3,2019,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
11,ASTRAL NANOTEC PTE. LTD.,201626211M,barbara@skainom.net,,,Dick,3,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
12,Bacton Pte Ltd (Previously Arc E-commerce Shareholdings),201830250Z,barbara@skainom.net,,,Harry,3,2019,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
13,B. Y Marine EnviroPro Pte Ltd,201822458K,queenkim2468@gmail.com,,,Tom,3,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
14,B.Y Consulting Pte Ltd,201501804W,queenkim2468@gmail.com,,,Dick,3,2019,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
15,Bao Yee International Pte Ltd,201436644M,queenkim2468@gmail.com,,,Harry,3,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
16,Co-Mac Corporation Pte. Limited,201207629R,ebonghor@hotmail.com,,,Tom,3,2019,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
17,Betta Eat Mo Pte Ltd,199903736K,honey@leestaiwanese.com,,,Dick,3,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
18,Camelot Infant Care Pte Ltd,201537168H,huihuisim@yahoo.com,,,Harry,3,2019,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
19,Camelot Educare Pte Ltd,201901092H,huihuisim@yahoo.com,,,Tom,3,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
20,Camelot Mamacare Pte Ltd,201901099E,huihuisim@yahoo.com,,,Dick,3,2019,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
21,Chong Tien (Singapore) BioTech Pte Ltd,201836055D,,,,Harry,3,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
22,CITIKIDS EDVENTURE PTE. LTD.,"
200712707M",,,,Tom,3,2019,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
23,CITIKIDS ACADEMY PRIVATE LIMITED,"
200209364R",,,,Dick,3,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
24,CJQ International Pte Ltd,201436651M,queenkim2468@gmail.com,,,Harry,3,2019,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
25,Credit Claim Bureau Pte Ltd,201906963N,jeremy@internationalpreschoolcurriculum.com.sg,,,Tom,3,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
26,CTEGO PTE LTD,201842612Z,,,,Dick,3,2019,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
